text,intent
'Прощайте',GOODBYE
'Бывай',GOODBYE
'Счастливо',GOODBYE
'Удачи',GOODBYE
'Всех благ',GOODBYE
'Покеда',GOODBYE
'Пока  пока',GOODBYE
'Аривидерчи',GOODBYE
'Бай  бай',GOODBYE
'Бай',GOODBYE
'Чао',GOODBYE
'Адью',GOODBYE
'Давай пока',GOODBYE
'Ну давай пока',GOODBYE
'Ладно пока',GOODBYE
'Хорошо до свидания',GOODBYE
'Все я пошел',GOODBYE
'Я ушел',GOODBYE
'Я ухожу',GOODBYE
'Мне пора',GOODBYE
'Пора прощаться',GOODBYE
'Будьте здоровы',GOODBYE
'Счастливо оставаться',GOODBYE
'До новых встреч',GOODBYE
'До скорой встречи',GOODBYE
'До скорых встреч',GOODBYE
'Созвонимся',GOODBYE
'Спишемся',GOODBYE
'На связи',GOODBYE
'Еще увидимся',GOODBYE
'Еще свидимся',GOODBYE
'Лады пока',GOODBYE
'Ок пока',GOODBYE
'Окей пока',GOODBYE
'Хорошо пока',GOODBYE
'Ну все пока',GOODBYE
'Все давай',GOODBYE
'Бывай здоров',GOODBYE
'Бывайте здоровы',GOODBYE
'Прощевайте',GOODBYE
'Прощай друг',GOODBYE
'Пока друг',GOODBYE
'До свидания друг',GOODBYE
'Всего хорошего друг',GOODBYE
'Удачи друг',GOODBYE
'Пока брат',GOODBYE
'До свидания брат',GOODBYE
'Прощай брат',GOODBYE
'Увидимся брат',GOODBYE
'Пока приятель',GOODBYE
'До встречи приятель',GOODBYE
'Всего доброго приятель',GOODBYE
'Бай  бай друг',GOODBYE
'Чао друг',GOODBYE
'Адью друг',GOODBYE
'Пока увидимся',GOODBYE
'До свидания увидимся',GOODBYE
'Прощай прощай',GOODBYE
'Пока пока пока',GOODBYE
'Ладушки пока',GOODBYE
'Ну давай бывай',GOODBYE
'Все отключаюсь',GOODBYE
'Я выхожу',GOODBYE
'Я отключаюсь',GOODBYE
'Завершаем разговор',GOODBYE
'Закончим на этом',GOODBYE
'На сегодня все',GOODBYE
'Все на сегодня',GOODBYE
'Хватит на сегодня',GOODBYE
'До завтра пока',GOODBYE
'До вечера пока',GOODBYE
'До скорого пока',GOODBYE
'Созвонимся пока',GOODBYE
'Спишемся пока',GOODBYE
'Удачи до связи',GOODBYE
'Всего хорошего до связи',GOODBYE
'Всего доброго до связи',GOODBYE
'Будьте здоровы до свидания',GOODBYE
'Счастливо до встречи',GOODBYE
'Всех благ до свидания',GOODBYE
'До свидания всего хорошего',GOODBYE
'До свидания всего доброго',GOODBYE
'Пока удачи',GOODBYE
'Пока счастливо',GOODBYE
'Пока всех благ',GOODBYE
'Какое сегодня число',DATE
'Сколько сегодня',DATE
'Какой сегодня день недели и число',DATE
'Завтра какое число',DATE
'Вчера какое число было',DATE
'Какой месяц',DATE
'Какой год',DATE
'Сейчас какой год',DATE
'Какое сегодня число словами',DATE
'Какое сегодня число месяца',DATE
'Какое сегодня число и месяц',DATE
'Назови сегодняшнюю дату',DATE
'Скажи сегодняшнюю дату',DATE
'Узнай сегодняшнее число',DATE
'Сегодня какое число',DATE
'Сегодня какой день',DATE
'Какой сегодня день',DATE
'Какой день недели',DATE
'Какой сегодня день недели',DATE
'Какой сейчас день недели',DATE
'Какой день недели сегодня',DATE
'Скажи какой сегодня день',DATE
'Назови день недели',DATE
'Узнай день недели',DATE
'Какой сейчас месяц',DATE
'Какой месяц сейчас',DATE
'Сейчас какой месяц',DATE
'Скажи какой сейчас месяц',DATE
'Назови текущий месяц',DATE
'Узнай текущий месяц',DATE
'Какой сейчас год',DATE
'Текущий год какой',DATE
'Скажи какой сейчас год',DATE
'Назови текущий год',DATE
'Какой год на дворе',DATE
'Какое число было вчера',DATE
'Вчерашнее число',DATE
'Вчера какая дата была',DATE
'Какая дата была вчера',DATE
'Завтра какая дата',DATE
'Завтрашнее число',DATE
'Какое число будет завтра',DATE
'Какая дата будет завтра',DATE
'Послезавтра какое число',DATE
'Какое число через день',DATE
'Дата через день',DATE
'Какое число будет через неделю',DATE
'Дата через неделю',DATE
'Какая дата была неделю назад',DATE
'Какое число было неделю назад',DATE
'Сегодняшняя дата полностью',DATE
'Полная дата сегодня',DATE
'Дата сегодня с годом',DATE
'Число месяц год сегодня',DATE
'Сегодняшнее число месяц и год',DATE
'Скажи полную дату',DATE
'Назови полную дату',DATE
'Узнай полную дату',DATE
'Какой сегодня день в цифрах',DATE
'Дата в цифрах',DATE
'Число месяц год в цифрах',DATE
'Какое сегодня число цифрами',DATE
'Сколько дней в этом месяце',DATE
'Сколько дней в текущем месяце',DATE
'Дней в этом месяце',DATE
'Какой месяц по счету',DATE
'Номер месяца какой',DATE
'Порядковый номер месяца',DATE
'Какая неделя по счету',DATE
'Номер недели в году',DATE
'Какая сейчас неделя',DATE
'Какой квартал сейчас',DATE
'Текущий квартал',DATE
'Какое полугодие сейчас',DATE
'Сейчас какая половина года',DATE
'Сколько дней осталось до конца месяца',DATE
'Дней до конца месяца',DATE
'Сколько дней до конца года',DATE
'Дней до нового года',DATE
'Как долго до нового года',DATE
'Когда конец месяца',DATE
'Когда начало месяца',DATE
'Когда конец года',DATE
'Когда следующий месяц',DATE
'Дата нового года',DATE
'Какое число будет в конце месяца',DATE
'Какое число будет в конце года',DATE
'Високосный год или нет',DATE
'Этот год високосный',DATE
'Сейчас високосный год',DATE
'Как дела',SMALL_TALK
'Как ты',SMALL_TALK
'Поговори со мной',SMALL_TALK
'Расскажи о себе',SMALL_TALK
'Кто ты',SMALL_TALK
'Как тебя зовут',SMALL_TALK
'Что ты умеешь',SMALL_TALK
'Что ты можешь',SMALL_TALK
'Расскажи что  нибудь',SMALL_TALK
'Как жизнь',SMALL_TALK
'Как настроение',SMALL_TALK
'Как сам',SMALL_TALK
'Как поживаешь',SMALL_TALK
'Как делишки',SMALL_TALK
'Что нового',SMALL_TALK
'Что слышно',SMALL_TALK
'Какие новости',SMALL_TALK
'Чем занимаешься',SMALL_TALK
'Что делаешь',SMALL_TALK
'О чем думаешь',SMALL_TALK
'Расскажи анекдот',SMALL_TALK
'Пошути',SMALL_TALK
'Рассмеши меня',SMALL_TALK
'Скажи что  то смешное',SMALL_TALK
'Хочу посмеяться',SMALL_TALK
'Скучно',SMALL_TALK
'Мне скучно',SMALL_TALK
'Развлеки меня',SMALL_TALK
'Поболтаем',SMALL_TALK
'Поговорим',SMALL_TALK
'Давай поболтаем',SMALL_TALK
'Давай поговорим',SMALL_TALK
'Поболтать хочешь',SMALL_TALK
'Хочу поговорить',SMALL_TALK
'Ты мне нравишься',SMALL_TALK
'Ты классный',SMALL_TALK
'Ты молодец',SMALL_TALK
'Ты умный',SMALL_TALK
'Ты хороший',SMALL_TALK
'Спасибо',SMALL_TALK
'Спасибо большое',SMALL_TALK
'Благодарю',SMALL_TALK
'Ты лучший',SMALL_TALK
'Супер',SMALL_TALK
'Класс',SMALL_TALK
'Отлично',SMALL_TALK
'Неплохо',SMALL_TALK
'Хорошо',SMALL_TALK
'Плохо',SMALL_TALK
'Грустно',SMALL_TALK
'Весело',SMALL_TALK
'Интересно',SMALL_TALK
'Скукотища',SMALL_TALK
'Как там погодка',WEATHER
'Что с погодой',WEATHER
'Погода на сегодня',WEATHER
'Погода на завтра',WEATHER
'Прогноз погоды',WEATHER
'Какая погода',WEATHER
'Что за погода',WEATHER
'Сколько градусов',WEATHER
'Температура',WEATHER
'На улице холодно',WEATHER
'На улице жарко',WEATHER
'Идет дождь',WEATHER
'Снег идет',WEATHER
'Ветер сильный',WEATHER
'Солнечно',WEATHER
'Пасмурно',WEATHER
'Облачно',WEATHER
'Туман',WEATHER
'Гроза будет',WEATHER
'Мороз на улице',WEATHER
'Погода в Москве',WEATHER
'Погода в Питере',WEATHER
'Погода в моем городе',WEATHER
'Узнай погоду',WEATHER
'Скажи погоду',WEATHER
'Погодные условия',WEATHER
'Будет дождь',WEATHER
'Ожидаются осадки',WEATHER
'Какая влажность',WEATHER
'Какое давление',WEATHER
'Ультрафиолет',WEATHER
'Магнитные бури',WEATHER
'Видимость на дорогах',WEATHER
'Гололед',WEATHER
'Нужен зонт',WEATHER
'Как одеваться',WEATHER
'Можно гулять',WEATHER
'Погода на выходные',WEATHER
'Погода на неделю',WEATHER
'Прогноз на завтра',WEATHER
'Прогноз на сегодня',WEATHER
'Температура воды',WEATHER
'Ветра нет',WEATHER
'Тепло на улице',WEATHER
'Прохладно',WEATHER
'Сыро',WEATHER
'Душно',WEATHER
'Свежо',WEATHER
'Зябко',WEATHER
'Морозно',WEATHER
'Жарко',WEATHER
'Знойно',WEATHER
'Пекло',WEATHER
'Холодно',WEATHER
'Ледяной ветер',WEATHER
'Снегопад',WEATHER
'Ливень',WEATHER
'Метель',WEATHER
'Пурга',WEATHER
'Шторм',WEATHER
'Ураган',WEATHER
'Пыльная буря',WEATHER
